% Model:              Ruban_2D_quarter.mph
% Version:            COMSOL 6.2.0.415
% Date:               May 3 2026, 12:52
% Table:              Table 1 - instantaneous AC losses pd [W/m]
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        1.8981471035967574E-33
2.0E-4                   8.930820390124628E-19
4.0E-4                   1.79714669078735E-12
6.000000000000001E-4     8.268790159661648E-9
8.0E-4                   1.242122992586877E-6
0.001                    2.2026515558498915E-6
0.0012000000000000001    2.250333624420823E-6
0.0014                   4.55867071861284E-6
0.0016                   5.7934524154168854E-6
0.0018000000000000002    8.056985337898846E-6
0.002                    1.0101115871012325E-5
0.0022                   1.1858740604993211E-5
0.0024000000000000002    1.4460922425642166E-5
0.0026000000000000003    1.5932908621831064E-5
0.0028                   1.82478386774442E-5
0.003                    1.9244966761817736E-5
0.0032                   2.088986571869912E-5
0.0034000000000000002    2.1211435945435872E-5
0.0036000000000000003    2.1135709593661414E-5
0.0038                   2.1019261961027424E-5
0.004                    1.995440959105048E-5
0.004200000000000001     1.8399459796307932E-5
0.0044                   1.6703408319397092E-5
0.0046                   1.4687899246572144E-5
0.0048000000000000004    1.2357649965921593E-5
0.005                    9.931594695413233E-6
0.005200000000000001     7.613994453009664E-6
0.0054                   5.548937910055113E-6
0.0056                   3.8342767305635225E-6
0.0058000000000000005    2.5198906400956513E-6
0.006                    1.587888930569969E-6
0.006200000000000001     9.613329970277712E-7
0.0064                   5.548210856531607E-7
0.0066                   3.0314516948754127E-7
0.0068000000000000005    1.5635972048396662E-7
0.007                    7.594618947787707E-8
0.007200000000000001     3.461022296463147E-8
0.0074                   1.4730478145417259E-8
0.0076                   5.825865932849983E-9
0.0078000000000000005    2.1303045655815166E-9
0.008                    1.5605851123484723E-9
0.0082                   2.0581448417575796E-7
0.008400000000000001     1.970018311060226E-6
0.0086                   2.0567874007897472E-6
0.0088                   2.142277692624008E-6
0.009000000000000001     2.194606960035592E-6
0.0092                   2.279519531137807E-6
0.0094                   4.60077084556784E-6
0.009600000000000001     6.444503651726975E-6
0.0098                   6.5533332483518405E-6
0.01                     6.953749734401464E-6
0.0102                   1.1327184202426012E-5
0.010400000000000001     1.2576904789118505E-5
0.0106                   1.2637809019342894E-5
0.0108                   1.5642407509196164E-5
0.011000000000000001     1.926948160876725E-5
0.0112                   1.9502418872022243E-5
0.0114                   2.1315405825290204E-5
0.011600000000000001     2.556929507492557E-5
0.0118                   2.6025314728920082E-5
0.012                    2.674789260354667E-5
0.0122                   3.064248028442205E-5
0.012400000000000001     3.1434761410156426E-5
0.0126                   3.0467441578290126E-5
0.0128                   3.0989840111726114E-5
0.013000000000000001     3.25977407785151E-5
0.0132                   3.1904797481084124E-5
0.0134                   2.99185026863051E-5
0.013600000000000001     2.8022914012519883E-5
0.013800000000000002     2.6956599141698413E-5
0.014                    2.546521302619121E-5
0.0142                   2.3013072222982055E-5
0.014400000000000001     2.00132090566054E-5
0.0146                   1.6841692255123356E-5
0.0148                   1.3743573803106421E-5
0.015000000000000001     1.0860380637257425E-5
0.0152                   8.267098870827197E-6
0.0154                   6.0159323504821245E-6
0.015600000000000001     4.161743107200818E-6
0.0158                   2.7412333709940044E-6
0.016                    1.732175400264136E-6
0.0162                   1.052539217726065E-6
0.0164                   6.105252106202133E-7
0.0166                   3.3575409340155005E-7
0.016800000000000002     1.7456335457886114E-7
0.017                    8.55974984929901E-8
0.0172                   3.944681185651969E-8
0.017400000000000002     1.7009229272078057E-8
0.0176                   6.829667163366795E-9
0.0178                   2.5412830056238524E-9
0.018000000000000002     1.6078683463138512E-9
0.0182                   1.8860511927443875E-7
0.0184                   1.9882872648163785E-6
0.018600000000000002     2.0590376347051376E-6
0.0188                   2.1415712679064396E-6
0.019                    2.1951190642099855E-6
0.019200000000000002     2.2758583891934397E-6
0.0194                   4.473005346354392E-6
0.0196                   6.409789250461657E-6
0.0198                   6.554501168477398E-6
0.02                     6.911230301861436E-6
