% Model:              SCtape_pde_2D_c43a_20160729_ancien.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 15 2026, 13:21
% Table:              Table 1 - instantaneous AC losses pd [W/m] (Pd)
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        1.9935162803407763E-291
2.0E-4                   3.63505979698585E-70
4.0E-4                   5.54907892784674E-5
6.000000000000001E-4     8.591273528796725E-5
8.0E-4                   1.803799646082338E-4
0.001                    3.0676623450339184E-4
0.0012000000000000001    4.16789795719222E-4
0.0014                   7.215569391126814E-4
0.0016                   9.491965581191275E-4
0.0018000000000000002    0.00121321382259962
0.002                    0.0015498631732047059
0.0022                   0.0018284114177264622
0.0024000000000000002    0.0022183355464913093
0.0026000000000000003    0.002434991756765799
0.0028                   0.002647375624853316
0.003                    0.002745751922280089
0.0032                   0.002900305668459011
0.0034000000000000002    0.002859944106012589
0.0036000000000000003    0.002849954991398814
0.0038                   0.002708872939888718
0.004                    0.002460747499464048
0.004200000000000001     0.0021609220557113804
0.0044                   0.0018047150032811218
0.0046                   0.0013834095737880203
0.0048000000000000004    9.553584848327802E-4
0.005                    5.843039079067244E-4
0.005200000000000001     2.974835798859473E-4
0.0054                   1.2162851108014052E-4
0.0056                   4.158367072685987E-5
0.0058000000000000005    1.1643553295860102E-5
0.006                    2.624025727494516E-6
0.006200000000000001     4.6890876808668224E-7
0.0064                   6.575895112763441E-8
0.0066                   7.173632163077584E-9
0.0068000000000000005    6.031182010028135E-10
0.007                    4.4767472628043096E-11
0.007200000000000001     1.9177649092264624E-5
0.0074                   2.062171443350598E-5
0.0076                   2.1966991452838732E-5
0.0078000000000000005    2.4023596134225358E-5
0.008                    8.526719104308753E-5
0.0082                   8.914570677604364E-5
0.008400000000000001     1.6198974550143313E-4
0.0086                   1.690198015863778E-4
0.0088                   2.991778896394465E-4
0.009000000000000001     4.2510729951114915E-4
0.0092                   4.44968209031583E-4
0.0094                   6.3385638326658E-4
0.009600000000000001     8.11426086781569E-4
0.0098                   0.0010774856162809265
0.01                     0.001301891385956145
0.0102                   0.001484353201495483
0.010400000000000001     0.001684743670685458
0.0106                   0.001885904917224962
0.0108                   0.0022587617170971093
0.011000000000000001     0.002537086137767942
0.0112                   0.0029361221206166297
0.0114                   0.003211705604346325
0.011600000000000001     0.0034062597466452886
0.0118                   0.003518808580764219
0.012                    0.003729191261043277
0.0122                   0.00406759638421447
0.012400000000000001     0.004166675368525273
0.0126                   0.003996602856256951
0.0128                   0.004207024819391214
0.013000000000000001     0.004012944090956424
0.0132                   0.003894856401091715
0.0134                   0.0035696462949770394
0.013600000000000001     0.003511661236010725
0.013800000000000002     0.0030716386441805264
0.014                    0.002802132268634721
0.0142                   0.002344908062182217
0.014400000000000001     0.0018613138494970986
0.0146                   0.0013942488975553775
0.0148                   9.811895866512622E-4
0.015000000000000001     6.189249088314741E-4
0.0152                   3.130743295938841E-4
0.0154                   1.2721615881677119E-4
0.015600000000000001     4.341318276186949E-5
0.0158                   1.215338368054492E-5
0.016                    2.745118747987636E-6
0.0162                   4.92995515780822E-7
0.0164                   6.949239924857379E-8
0.0166                   7.62216074904698E-9
0.016800000000000002     6.444618970313301E-10
0.017                    4.5666764725028785E-11
0.0172                   1.907898455303327E-5
0.017400000000000002     2.06207267598825E-5
0.0176                   2.1972180890936726E-5
0.0178                   2.398087881481556E-5
0.018000000000000002     8.55368709398776E-5
0.0182                   8.930588217965062E-5
0.0184                   1.6228024799976425E-4
0.018600000000000002     1.689446743921108E-4
0.0188                   2.9896974447485335E-4
0.019                    4.252628148127176E-4
0.019200000000000002     4.4438118636865444E-4
0.0194                   6.340988032730655E-4
0.0196                   8.114721830231772E-4
0.0198                   0.0010774058769983707
0.02                     0.0012973054627522984
