% Model:              Ruban_2D_quarter.mph
% Version:            COMSOL 6.2.0.415
% Date:               May 3 2026, 18:20
% Table:              Table 1 - instantaneous AC losses pd [W/m]
% Time (s)               instantaneous AC losses [W/m] (W/m)
0                        3.218091544625318E-32
2.0E-4                   1.5141501417781108E-17
4.0E-4                   3.045516554518903E-11
6.000000000000001E-4     1.251360995113587E-7
8.0E-4                   2.481539339904673E-6
0.001                    2.5672947468211906E-6
0.0012000000000000001    4.992642150717327E-6
0.0014                   6.933221017304799E-6
0.0016                   1.0724639866760498E-5
0.0018000000000000002    1.2834326134965018E-5
0.002                    1.7403652290722605E-5
0.0022                   2.015664324681927E-5
0.0024000000000000002    2.4483692732903557E-5
0.0026000000000000003    2.7858461129813546E-5
0.0028                   3.1120523615566745E-5
0.003                    3.356884172119307E-5
0.0032                   3.5628061018514174E-5
0.0034000000000000002    3.662205937305867E-5
0.0036000000000000003    3.719360233965229E-5
0.0038                   3.622937979681708E-5
0.004                    3.489425016170642E-5
0.004200000000000001     3.2569543706364734E-5
0.0044                   2.9294089149646108E-5
0.0046                   2.563345817612885E-5
0.0048000000000000004    2.170311044706706E-5
0.005                    1.758536587314007E-5
0.005200000000000001     1.3554238216136213E-5
0.0054                   9.902962295190031E-6
0.0056                   6.850199394523648E-6
0.0058000000000000005    4.505296292947419E-6
0.006                    2.8401628553071998E-6
0.006200000000000001     1.717741358042509E-6
0.0064                   9.892640590076883E-7
0.0066                   5.395616337512934E-7
0.0068000000000000005    2.778968250098435E-7
0.007                    1.3468962671906757E-7
0.007200000000000001     6.116300735138908E-8
0.0074                   2.58978604956077E-8
0.0076                   1.0173616613302531E-8
0.0078000000000000005    4.155567921523618E-9
0.008                    2.1082816334805737E-7
0.0082                   2.0932558489299163E-6
0.008400000000000001     2.299673105978979E-6
0.0086                   2.3953604274862665E-6
0.0088                   2.4715086945357775E-6
0.009000000000000001     3.068672280739701E-6
0.0092                   7.015434238281911E-6
0.0094                   7.4430271880268675E-6
0.009600000000000001     7.720974569029963E-6
0.0098                   1.2985126395559126E-5
0.01                     1.4656031573893732E-5
0.0102                   1.5080053086781928E-5
0.010400000000000001     2.1442235207892394E-5
0.0106                   2.3574454799516435E-5
0.0108                   2.52931606659962E-5
0.011000000000000001     3.2243325008112555E-5
0.0112                   3.338501728681961E-5
0.0114                   3.846362503346479E-5
0.011600000000000001     4.324455914486223E-5
0.0118                   4.3598925893577674E-5
0.012                    4.881552677776482E-5
0.0122                   5.16916794338833E-5
0.012400000000000001     5.144278642977798E-5
0.0126                   5.488811947050897E-5
0.0128                   5.636174130387849E-5
0.013000000000000001     5.444714012770672E-5
0.0132                   5.370060930663488E-5
0.0134                   5.390521890668029E-5
0.013600000000000001     5.13438321799972E-5
0.013800000000000002     4.715559558031478E-5
0.014                    4.3035843439649466E-5
0.0142                   3.9408594350828725E-5
0.014400000000000001     3.5186427730662675E-5
0.0146                   3.018768385277768E-5
0.0148                   2.488600368627204E-5
0.015000000000000001     1.9706170792170805E-5
0.0152                   1.4949083723780555E-5
0.0154                   1.0818066768845072E-5
0.015600000000000001     7.44514178012637E-6
0.0158                   4.884478776313741E-6
0.016                    3.0766203174334033E-6
0.0162                   1.8622245097577783E-6
0.0164                   1.0749484195811625E-6
0.0166                   5.883410919208285E-7
0.016800000000000002     3.043902079422843E-7
0.017                    1.4834652738936292E-7
0.0172                   6.780760438662626E-8
0.017400000000000002     2.893199984349668E-8
0.0176                   1.1466683948891484E-8
0.0178                   4.588115968990687E-9
0.018000000000000002     1.8691817569287457E-7
0.0182                   2.2274549719462604E-6
0.0184                   2.2903806183407337E-6
0.018600000000000002     2.3994796596095504E-6
0.0188                   2.4713664442657574E-6
0.019                    3.007908338406545E-6
0.019200000000000002     6.9909482419095095E-6
0.0194                   7.422280453220674E-6
0.0196                   7.69446330321933E-6
0.0198                   1.282026111680659E-5
0.02                     1.4718280839710366E-5
