% Model:              B.4_Cube12_PDE_version_same2D.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jan 15 2026, 21:14
% Table:              Table 3 - instantaneous AC losses pd [W/m]
% Time (s)               instantaneous AC losses [W/m] (W)
0                        1.5160915125895194E-30
2.0E-4                   2.2224692554333527E-12
4.0E-4                   1.6834001387707937E-5
6.000000000000001E-4     1.1054134891071927E-4
8.0E-4                   2.3056375059150907E-4
0.001                    3.1642915956237407E-4
0.0012000000000000001    3.9830204532933855E-4
0.0014                   5.762904196996477E-4
0.0016                   7.734606149202431E-4
0.0018000000000000002    9.40556354321269E-4
0.002                    0.0010639685041606585
0.0022                   0.0011509080582122572
0.0024000000000000002    0.0012081454468996957
0.0026000000000000003    0.0012419413771197535
0.0028                   0.0012624079099041864
0.003                    0.0012733471431684536
0.0032                   0.0012659669482316313
0.0034000000000000002    0.0012263886669550898
0.0036000000000000003    0.0011632997672443937
0.0038                   0.0010822604563297665
0.004                    9.813904787376623E-4
0.004200000000000001     8.6593056182468E-4
0.0044                   7.408397184511851E-4
0.0046                   6.119777463028873E-4
0.0048000000000000004    4.8420918051554965E-4
0.005                    3.636276635275619E-4
0.005200000000000001     2.567262072069805E-4
0.0054                   1.6992737342621294E-4
0.0056                   1.0794929846882057E-4
0.0058000000000000005    7.033640833746566E-5
0.006                    5.0457858346612674E-5
0.006200000000000001     4.0367618622718916E-5
0.0064                   3.5072465087125156E-5
0.0066                   3.236870018412707E-5
0.0068000000000000005    3.143278365544221E-5
0.007                    3.2035462050772765E-5
0.007200000000000001     3.5343728718997055E-5
0.0074                   4.5073688187914675E-5
0.0076                   6.114570707400965E-5
0.0078000000000000005    7.816747542658933E-5
0.008                    1.1039703554328085E-4
0.0082                   1.588906220316858E-4
0.008400000000000001     2.2045560598183076E-4
0.0086                   2.8788088994665474E-4
0.0088                   3.3854011352590723E-4
0.009000000000000001     3.9221830004800815E-4
0.0092                   4.6947878936222083E-4
0.0094                   5.918602611529164E-4
0.009600000000000001     7.383167353527489E-4
0.0098                   8.942901097971094E-4
0.01                     0.001046490604223501
0.0102                   0.0011833094960837325
0.010400000000000001     0.0013073174658683438
0.0106                   0.0014073219960665582
0.0108                   0.0014996875630155716
0.011000000000000001     0.0015726947523965423
0.0112                   0.0016445645906772535
0.0114                   0.0017043320834350076
0.011600000000000001     0.0017659437715640942
0.0118                   0.001811079603884362
0.012                    0.001847946954670339
0.0122                   0.0018637966621232022
0.012400000000000001     0.0018541552386962276
0.0126                   0.0018282711710826452
0.0128                   0.001788175645720154
0.013000000000000001     0.0017224163118049508
0.0132                   0.0016386004058404472
0.0134                   0.0015350454298483738
0.013600000000000001     0.0014165567039485904
0.013800000000000002     0.001285820340992142
0.014                    0.0011462117624077984
0.0142                   9.990775740397627E-4
0.014400000000000001     8.469077580027984E-4
0.0146                   6.946879964403121E-4
0.0148                   5.471864372006664E-4
0.015000000000000001     4.1004306449796905E-4
0.0152                   2.897463804958212E-4
0.0154                   1.9256112606887593E-4
0.015600000000000001     1.2287984344243097E-4
0.0158                   7.999438532589397E-5
0.016                    5.691645364995428E-5
0.0162                   4.5015077830988706E-5
0.0164                   3.864840005907509E-5
0.0166                   3.525622008563853E-5
0.016800000000000002     3.386297459688506E-5
0.017                    3.413075481866673E-5
0.0172                   3.711538785449347E-5
0.017400000000000002     4.6464032274808864E-5
0.0176                   6.242852532996928E-5
0.0178                   7.918820886841624E-5
0.018000000000000002     1.1070178614750112E-4
0.0182                   1.5878697094902898E-4
0.0184                   2.2008583514679644E-4
0.018600000000000002     2.8770470149173325E-4
0.0188                   3.3877296721093855E-4
0.019                    3.918499449847117E-4
0.019200000000000002     4.682512306150789E-4
0.0194                   5.888696669055392E-4
0.0196                   7.339007629775388E-4
0.0198                   8.889594865092744E-4
0.02                     0.0010407899514798219
